Node 1 Name,Node 2 Name,Is Accessible
N237,N238,TRUE
N240,N239,TRUE
N238,N239,TRUE
N240,Experimental Media and Performing Arts Center,TRUE
N170,Amos Eaton Hall,TRUE
N169,Amos Eaton Hall,TRUE
N243,N156,TRUE
N242,N243,TRUE
N241,N242,TRUE
Amos Eaton Hall,N241,TRUE
N194,N247,TRUE
N242,N244,TRUE
N245,N246,TRUE
N244,N245,TRUE
Folsom Library,N245,TRUE
N246,N247,TRUE
N191,Materials Research Center,TRUE
Folsom Library,N248,TRUE
N193,N248,TRUE
Materials Research Center,Cogswell Laboratory,TRUE
N252,Cogswell Laboratory,TRUE
Parking Garage,N252,TRUE
N247,N249,TRUE
N250,N249,TRUE
N251,N250,TRUE
N251,RPI Ambulance,TRUE
N213,N253,TRUE
N212,N253,TRUE
N254,N253,TRUE
N256,N255,TRUE
N254,N255,TRUE
N256,N257,TRUE
N258,N257,TRUE
N259,N258,TRUE
N213,N259,TRUE
RPI Ambulance,N259,TRUE
N260,RPI Ambulance,TRUE
N218,N261,TRUE
N211,N262,TRUE
N260,N262,TRUE
N261,N262,TRUE
N260,N263,TRUE
N226,N263,TRUE
N111,N266,TRUE
N265,N266,TRUE
N264,N266,TRUE
N226,N264,TRUE
N122,N267,TRUE
N223,N268,TRUE
N267,N268,TRUE
N117,N272,TRUE
N270,N272,TRUE
N120,N272,TRUE
N270,N271,TRUE
N223,N271,TRUE
N273,N270,FALSE
N273,N269,TRUE
N206,N269,TRUE
N275,N276,TRUE
N274,N277,TRUE
N276,N277,TRUE
N278,N277,TRUE
Boiler House,N279,TRUE
N278,N279,TRUE
N275,N280,TRUE
N281,N280,TRUE
N281,N282,TRUE
N278,N282,TRUE
N281,West Hall,TRUE
N283,N282,TRUE
N278,N283,TRUE
N287,N230,TRUE
Pittsburgh Building,N287,TRUE
N286,N287,TRUE
N285,N286,TRUE
N283,N285,TRUE
N284,N283,TRUE
N284,N288,FALSE
N214,N288,TRUE
Russell Sage Laboratory,N290,TRUE
N289,N290,TRUE
N142,N289,TRUE
Troy Building,N291,TRUE
N142,N291,TRUE
N141,N291,TRUE
N274,N292,TRUE
N196,N292,TRUE
N294,N293,TRUE
N292,N293,TRUE
N294,N295,TRUE
Blaw-Knox 1&2,N296,TRUE
N295,N296,TRUE
N297,N295,TRUE
N298,N297,TRUE
N275,N299,TRUE
Black Cultural Center,N299,TRUE
N238,N300,TRUE
N251,N300,TRUE
N209,N301,TRUE
N255,N301,TRUE
N211,N301,TRUE
N298,N302,TRUE
J Building,N302,TRUE
Service Building,N302,TRUE
Boiler House 2,N302,TRUE
N303,N302,TRUE
Boiler House 2,N303,TRUE
N302,N305,TRUE
N304,N306,TRUE
N305,N306,TRUE
N308,N307,TRUE
N306,N307,TRUE
N309,N307,TRUE
N305,N308,TRUE
N309,N299,TRUE
N71,N312,TRUE
N311,N312,TRUE
N309,N310,TRUE
N299,N311,TRUE
N310,N311,TRUE
N312,N314,TRUE
N232,N314,TRUE
N313,N314,TRUE
N315,Blitman Commons,TRUE
N316,N315,TRUE
N319,N313,TRUE
N318,N319,TRUE
N316,N318,TRUE
N315,N313,TRUE
N317,N318,TRUE
N320,N317,TRUE
N310,N321,TRUE
N311,N321,TRUE
N320,N321,TRUE
N317,N324,TRUE
N323,N324,TRUE
N322,N324,TRUE
N300,N326,TRUE
N322,N325,TRUE
N327,N325,TRUE
N326,N327,TRUE
N328,N329,TRUE
N330,N334,TRUE
N329,N334,TRUE
N333,N334,TRUE
N332,N333,TRUE
N331,N332,TRUE
N330,N331,TRUE
N333,H Building,TRUE
N304,N336,TRUE
N331,N336,TRUE
N303,N336,TRUE
N304,N335,TRUE
N328,N335,TRUE
N334,N335,TRUE
N328,N340,TRUE
Heffner Alumni House,N339,TRUE
N340,N339,TRUE
N338,N339,TRUE
N337,N338,TRUE
N329,N337,TRUE
N340,N73,TRUE
N295,N343,TRUE
N342,N343,TRUE
N341,N342,TRUE
N337,N341,TRUE
N81,Burdett Residence Hall (BARH),TRUE
N344,N81,TRUE
N95,N344,TRUE
N345,N344,TRUE
N345,Burdett Residence Hall (BARH),TRUE
N345,N346,TRUE
Burdett Residence Hall (BARH),N348,TRUE
N346,N347,TRUE
N348,N347,TRUE
N349,N348,TRUE
N351,N350,TRUE
N349,N350,TRUE
N353,N352,TRUE
N351,N352,TRUE
N353,N354,TRUE
N355,N354,TRUE
N92,N358,TRUE
N356,N358,TRUE
N72,N358,TRUE
N357,N356,TRUE
N72,N357,TRUE
N355,N357,TRUE
N351,N359,TRUE
N360,N359,TRUE
N92,N360,TRUE
N81,N360,TRUE
N359,Burdett Residence Hall (BARH),TRUE
N361,N355,TRUE
N361,N353,TRUE
N362,Houston Field House,TRUE
N365,Houston Field House,TRUE
N353,N365,TRUE
N364,N365,TRUE
N363,N364,TRUE
N361,N362,TRUE
N363,N362,TRUE
N352,N366,TRUE
N364,N368,TRUE
N366,N368,TRUE
N367,N368,TRUE
N367,N369,TRUE
RAHPS A,N370,TRUE
N369,N370,TRUE
N371,N370,TRUE
N372,N371,TRUE
N347,N372,TRUE
N369,N373,TRUE
N374,N373,TRUE
N376,N375,TRUE
N374,N375,TRUE
N367,N377,TRUE
N378,N377,TRUE
East Campus Athletic Village,N378,TRUE
N379,N378,TRUE
N363,N379,TRUE
N376,N380,TRUE
N381,N380,TRUE
N382,N381,TRUE
N382,N383,TRUE
Greenhouses and Grounds Barn,N383,TRUE
N380,N384,TRUE
N385,N384,TRUE
N386,N385,TRUE
N384,N387,TRUE
